pid,experimental_block,state,congressional_district,treatment_assignment,estimated_turnout_2018,clinton_votes_2016,trump_votes_2016,total_votes_2016,house_dem_votes_2018,house_rep_votes_2018,house_total_votes_2018,number_registered_voters,number_targets
64,1260,WA,3,Treatment,854.62113,382,488,951,394,474,868,1512,876
65,729,NV,3,Treatment,577.89807,565,351,1003,448,257,741,1512,1371
66,414,IL,13,Treatment,169.3254,39,126,184,61,98,159,236,17
67,342,IL,13,Treatment,370.94337,191,249,470,184,188,372,739,3
68,872,OH,1,Treatment,651.16491,525,207,756,423,191,626,985,640
69,465,IL,6,Control,578.9004,277,312,644,214,289,504,792,79
70,1190,VA,7,Treatment,1744.36767,937,812,1857,999,755,1774,2952,1211
71,1301,WA,5,Treatment,740.20458,270,435,745,302,450,752,984,97
72,539,MN,8,Treatment,105.88578,38,71,122,38,66,111,142,15
73,850,OH,12,Treatment,502.90779,261,247,533,251,231,487,696,635
74,1125,VA,10,Treatment,1685.31534,850,673,1628,914,680,1594,2660,855
75,612,MN,8,Treatment,329.36409,201,195,422,176,155,354,459,133
76,519,IL,13,Treatment,402.58449,117,285,423,132,231,364,668,23
77,568,MN,1,Treatment,129.02451,33,116,163,39,95,135,173,129
78,565,MN,2,Treatment,1181.23623,798,762,1730,780,678,1461,1953,922
79,484,IL,13,Treatment,558.58806,348,223,624,354,189,543,865,0
80,344,IL,6,Treatment,678.31812,289,345,692,275,324,599,991,23
81,1211,WA,3,Treatment,775.82019,379,319,728,439,308,747,1071,631
82,844,OH,1,Treatment,616.81866,712,78,810,552,67,625,1293,1161
83,453,IL,6,Treatment,841.48506,312,439,819,290,424,714,1278,368
84,1009,PA,16,Treatment,144.5316,142,46,200,111,19,131,556,172
85,332,IL,13,Treatment,884.06667,229,704,994,206,593,799,1286,316
86,610,MN,8,Treatment,380.15397,177,216,416,185,179,376,477,227
87,867,OH,1,Treatment,591.54756,125,504,655,115,427,553,863,528
88,507,IL,14,Treatment,746.36949,252,429,725,279,366,645,1013,350
89,611,MN,2,Treatment,799.00149,407,611,1134,479,490,970,1249,926
90,1244,WA,5,Control,450.07326,301,192,547,361,185,546,1125,18
91,809,OH,12,Treatment,546.72909,266,288,589,264,232,503,751,279
92,1294,WA,5,Treatment,489.53178,351,402,858,237,279,516,854,86
93,634,MN,1,Treatment,76.59504,17,79,101,24,67,91,104,92
94,938,PA,11,Treatment,417.75231,267,263,553,226,182,408,826,741
95,506,IL,6,Treatment,647.41746,385,255,700,370,253,623,1002,17
96,552,MN,1,Treatment,74.3943,26,54,88,22,31,53,103,82
97,374,IL,12,Treatment,314.05695,264,71,357,219,66,291,703,541
98,1071,PA,16,Treatment,1156.39083,633,632,1320,687,404,1092,1978,378
99,791,NV,3,Treatment,930.02163,294,323,637,703,720,1466,1639,1115
100,1056,PA,10,Control,337.10151,426,139,588,270,82,352,1118,15
101,383,IL,13,Treatment,164.90457,48,120,175,45,94,139,262,55
102,1341,WA,5,Treatment,653.9268,401,248,709,500,273,773,1232,22
103,509,IL,6,Treatment,598.29684,388,243,664,366,216,582,1005,382
104,568,MN,1,Treatment,88.0038,29,86,119,29,68,97,117,93
105,827,OH,1,Treatment,930.83949,193,726,963,206,661,875,1179,807
106,399,IL,12,Treatment,345.34977,76,261,350,92,237,333,487,375
107,667,NV,4,Treatment,227.93268,70,193,277,72,157,241,372,206
108,372,IL,12,Treatment,319.99353,74,273,358,81,213,295,527,472
109,1067,PA,10,Treatment,511.74429,712,39,762,442,22,464,1429,18
110,607,MN,2,Treatment,1518.79827,1093,885,2153,1124,744,1871,2364,879
111,756,NV,4,Treatment,151.31184,264,57,337,174,34,216,625,456
112,420,IL,13,Treatment,307.76433,202,123,354,180,107,287,833,1
113,1341,WA,3,Treatment,784.191,552,269,910,638,278,916,1757,1327
114,601,MN,1,Treatment,561.14226,275,423,759,321,306,631,861,525
115,432,IL,12,Treatment,307.98234,119,184,323,114,119,252,655,586
116,1209,WA,5,Treatment,309.20139,136,152,313,118,165,283,560,49
117,1231,WA,5,Treatment,133.80267,31,90,139,33,98,131,192,60
118,383,IL,12,Treatment,279.63588,39,254,302,56,226,293,421,366
119,451,IL,6,Control,488.87646,262,180,487,253,192,445,689,124
120,1263,WA,3,Treatment,34.75647,12,28,41,13,24,37,51,43
121,1236,WA,5,Treatment,170.12391,45,108,160,52,116,168,204,71
122,632,MN,3,Control,1048.8603,635,455,1179,726,491,1218,1359,557
123,1217,WA,3,Treatment,306.51948,54,211,289,57,233,290,413,408
124,1178,VA,10,Treatment,666.26307,391,198,647,364,216,580,951,294
125,1171,VA,2,Treatment,1633.4109,934,828,1912,872,707,1579,3140,1489
126,215,FL,18,Treatment,1288.87641,778,889,1719,670,756,1447,2487,805
127,544,MN,8,Treatment,193.84572,99,118,244,95,94,200,254,162
128,1350,WA,5,Treatment,765.24477,491,225,755,551,268,819,968,145
129,1122,VA,10,Treatment,1498.3608,676,614,1367,773,673,1446,2778,722
130,1347,WA,5,Treatment,163.91772,39,113,158,0,0,0,215,86
131,500,IL,12,Control,830.13177,537,388,974,503,294,815,1481,1096
132,1057,PA,16,Treatment,240.49212,56,212,277,61,173,236,346,62
133,205,FL,15,Treatment,1716.46239,1734,947,2868,1604,639,2289,4988,2724
134,984,PA,16,Treatment,209.15544,81,155,249,92,109,204,344,73
135,393,IL,12,Treatment,359.36046,100,236,364,122,212,339,525,490
136,1253,WA,3,Treatment,98.87721,42,43,91,47,53,100,138,95
137,469,IL,12,Treatment,269.06046,92,183,286,82,146,232,462,416
138,903,OH,12,Treatment,586.26114,373,266,689,344,236,592,926,341
139,778,NV,3,Treatment,607.32684,476,458,989,422,371,839,1410,1314
140,432,IL,14,Treatment,694.80432,443,299,782,497,276,773,1367,296
141,887,OH,1,Treatment,872.59341,165,739,950,152,676,847,1175,797
142,614,MN,1,Treatment,86.87763,31,83,118,33,75,108,127,79
143,391,IL,12,Treatment,950.26689,297,637,968,315,554,885,1346,829
144,569,MN,3,Treatment,1389.48996,1053,654,1858,1079,600,1681,2075,473
145,566,MN,1,Treatment,867.00384,547,503,1210,595,467,1063,1361,899
146,727,NV,3,Treatment,643.88028,300,396,723,276,317,625,861,734
147,829,OH,12,Treatment,394.69098,93,304,416,109,234,349,567,122
148,597,MN,2,Treatment,668.23677,430,394,922,476,357,834,1006,468
149,313,IL,14,Treatment,681.42573,451,268,764,393,249,642,1192,615
150,101,FL,6,Treatment,462.14508,189,360,558,154,314,479,847,306
151,419,IL,12,Treatment,218.77239,106,105,223,100,95,197,316,294
152,857,OH,1,Treatment,652.72839,149,587,768,136,426,578,1039,839
153,655,MN,8,Treatment,223.60602,69,187,268,81,136,225,291,64
154,791,NV,3,Control,997.9827,502,810,1378,520,647,1204,1845,1251
155,879,OH,12,Treatment,1191.95742,494,568,1119,513,579,1104,1430,920
156,681,NV,4,Treatment,496.52487,556,275,896,433,145,605,2047,846
157,327,IL,6,Treatment,654.36669,331,209,614,374,229,604,941,73
158,338,IL,12,Control,309.47616,88,263,368,67,184,264,536,497
159,1109,VA,7,Treatment,1164.02505,372,911,1348,364,747,1132,1872,496
160,752,NV,3,Treatment,383.1171,307,258,612,267,155,457,1215,1101
161,386,IL,6,Treatment,694.36701,341,326,712,319,321,640,1000,177
162,415,IL,13,Treatment,241.46607,68,190,271,84,145,229,383,15
163,612,MN,1,Treatment,266.05992,119,203,347,117,169,286,358,266
164,824,OH,1,Treatment,509.84541,112,422,554,111,340,461,705,459
165,564,MN,8,Treatment,426.7578,1041,669,2028,1056,357,1489,1370,328
166,3,FL,18,Treatment,345.67872,140,228,379,137,248,388,513,131
167,1334,WA,5,Treatment,538.9104,212,318,574,228,308,536,836,70
168,567,MN,1,Treatment,649.51629,418,469,950,384,362,746,1133,953
169,64,FL,6,Control,1809.61587,610,1278,1944,644,1257,1930,2660,1163
170,547,MN,2,Treatment,562.99728,287,322,662,327,264,591,813,475
171,939,PA,7,Treatment,719.18016,382,544,959,352,381,768,1270,0
172,1316,WA,3,Treatment,942.17343,351,581,1010,359,587,946,1406,646
173,579,MN,1,Treatment,119.56881,42,94,141,38,90,128,162,138
174,960,PA,16,Treatment,981.51714,536,419,1000,623,296,927,1444,274
175,961,PA,10,Treatment,757.85049,342,423,801,326,396,722,1007,42
176,896,OH,12,Treatment,346.05024,132,254,406,105,193,304,616,156
177,1098,VA,2,Control,2540.70402,1184,1496,2890,1180,1239,2419,4535,2423
178,441,IL,12,Treatment,354.92544,81,307,400,83,238,325,622,514
179,1153,VA,10,Treatment,1885.04862,719,999,1854,744,1008,1752,2816,718
180,278,FL,18,Treatment,957.22644,570,562,1184,520,483,1020,1600,477
181,848,OH,1,Treatment,694.74111,197,577,813,213,422,641,1065,857
182,1173,VA,5,Treatment,1654.21344,971,654,1777,991,560,1551,2491,1287
183,367,IL,14,Treatment,524.67912,238,245,532,221,175,396,882,431
184,491,IL,12,Treatment,614.07096,215,425,680,225,316,563,925,807
185,1251,WA,3,Treatment,250.58379,178,408,630,83,175,258,354,156
186,778,NV,4,Treatment,610.10808,519,333,903,473,252,755,1319,697
187,1306,WA,3,Treatment,281.31546,93,206,319,95,206,301,453,157
188,1153,VA,2,Treatment,1798.17486,702,934,1759,750,869,1619,2840,1042
189,818,OH,12,Treatment,455.45385,125,357,492,139,245,389,802,142
190,79,FL,15,Treatment,785.46423,326,617,991,323,497,844,1588,552
191,612,MN,1,Treatment,407.92767,206,276,530,231,198,429,561,325
192,191,FL,15,Treatment,1596.79812,527,1107,1772,558,1037,1636,2264,391
193,1126,VA,7,Treatment,1154.61837,309,921,1281,323,745,1078,2063,516
194,595,MN,1,Treatment,518.3349,383,307,814,440,212,653,906,704
195,537,MN,8,Treatment,119.88873,58,56,126,50,53,117,146,22
196,937,PA,7,Control,588.06714,426,283,742,417,193,635,988,6
197,1325,WA,5,Control,669.31779,179,419,637,232,487,719,980,297
198,929,PA,7,Treatment,1260.54543,700,696,1440,661,518,1244,1844,0
199,1175,VA,5,Control,947.97069,445,547,1046,454,463,917,1517,647
200,1103,VA,5,Treatment,489.31377,136,359,517,129,332,461,726,328
201,1158,VA,2,Treatment,2384.92233,551,1148,1803,669,1165,1834,3312,1507
202,1168,VA,1,Treatment,2480.57196,1166,1223,2587,1227,1030,2257,4410,2281
203,474,IL,12,Treatment,450.25128,216,333,586,209,193,429,929,813
204,848,OH,1,Treatment,650.97399,157,514,703,194,454,668,997,859
205,371,IL,6,Treatment,611.76702,247,320,621,269,288,557,977,184
206,646,MN,8,Treatment,360.75882,244,128,412,256,120,389,466,247
207,1160,VA,2,Treatment,1719.76479,859,991,2044,873,876,1749,3877,1136
208,510,IL,6,Treatment,1002.16875,388,500,975,375,509,884,1380,28
209,1001,PA,16,Treatment,119.16504,67,60,139,64,46,114,221,63
210,932,PA,10,Treatment,1480.53816,755,870,1686,706,748,1457,2172,104
211,379,IL,13,Treatment,317.24067,70,256,342,69,184,253,525,90
212,959,PA,16,Treatment,404.53368,124,323,474,139,236,382,641,145
213,1095,VA,7,Treatment,867.58692,193,690,920,201,617,836,1407,339
214,843,OH,12,Treatment,618.57822,169,497,694,156,382,546,1102,273
215,1201,WA,5,Treatment,555.27018,319,219,626,340,240,580,815,231
216,1314,WA,3,Treatment,386.02347,111,229,358,117,251,368,510,347
217,816,OH,12,Treatment,880.65462,264,518,814,256,497,759,1011,403
218,657,MN,2,Treatment,942.11925,423,645,1194,460,596,1058,1331,825
219,588,MN,2,Treatment,313.68027,135,205,389,146,191,338,420,375
220,792,OH,12,Treatment,761.54118,310,499,828,336,418,760,1113,828
221,827,OH,1,Treatment,767.64933,171,623,831,188,557,765,1039,748
222,232,FL,16,Treatment,3984.36495,2157,2412,4749,2042,2104,4200,6491,2641
223,1060,PA,10,Control,808.21725,354,532,925,349,424,773,1122,8
224,448,IL,6,Treatment,787.00449,388,332,791,342,329,671,1120,47
225,1273,WA,5,Treatment,579.73116,186,315,535,191,349,540,781,291
226,570,MN,1,Treatment,904.61766,349,666,1128,404,570,977,1262,601
227,740,NV,4,Control,730.49217,406,565,1044,368,461,878,1383,543
228,655,MN,1,Control,74.82,19,64,88,22,56,78,93,64
229,748,NV,4,Treatment,693.16602,646,409,1112,542,307,873,1613,736
230,377,IL,14,Treatment,1022.07474,618,480,1180,415,221,636,2139,977
231,1182,VA,10,Treatment,1469.31129,546,1050,1719,551,914,1465,2514,521
232,578,MN,8,Treatment,328.94613,93,333,454,94,219,330,507,374
233,609,MN,8,Treatment,45.75501,11,37,50,16,26,47,61,16
234,1228,WA,3,Treatment,375.23133,165,211,396,190,199,389,524,263
235,533,MN,3,Treatment,1386.39396,1137,654,1943,1062,648,1713,2176,783
236,648,MN,1,Treatment,191.14446,51,152,216,58,135,193,249,144
237,742,NV,3,Treatment,861.72516,428,638,1123,488,570,1097,1581,1066
238,329,IL,12,Treatment,584.59833,257,309,613,272,297,577,888,790
239,877,OH,1,Treatment,733.29405,227,650,934,226,472,716,1261,1011
240,869,OH,1,Treatment,626.0886,208,380,620,210,346,572,875,672
241,722,NV,4,Treatment,764.93259,488,540,1105,467,426,923,1407,620
242,328,IL,6,Treatment,469.84122,228,201,468,232,166,398,904,414
243,479,IL,14,Treatment,1004.77971,574,512,1148,498,459,957,1701,286
244,408,IL,12,Control,281.05875,319,52,380,223,41,267,650,523
245,390,IL,12,Treatment,117.27003,39,76,119,37,77,114,180,145
246,627,MN,3,Treatment,940.47063,745,392,1269,863,427,1294,1601,320
247,858,OH,1,Treatment,841.22577,889,41,947,751,39,796,1375,1116
248,844,OH,1,Treatment,564.84456,559,112,699,454,80,539,1051,913
249,831,OH,12,Treatment,783.65565,240,516,782,224,483,717,1057,273
250,903,OH,12,Treatment,701.14854,440,209,669,442,215,661,826,765
251,584,MN,1,Treatment,316.8111,120,217,376,127,183,310,418,365
252,516,IL,12,Treatment,507.58146,138,357,524,137,315,465,801,708
253,1312,WA,5,Treatment,767.61579,159,580,789,188,590,778,1032,327
254,857,OH,1,Treatment,541.98189,167,431,622,139,340,489,828,501
255,430,IL,12,Control,264.06558,162,26,190,157,12,172,518,451
256,336,IL,13,Treatment,430.71552,263,199,514,249,174,423,946,0
257,487,IL,12,Treatment,266.76942,57,209,285,72,171,248,390,330
258,641,MN,3,Treatment,1079.53134,555,702,1394,596,653,1253,1585,610
259,1105,VA,10,Treatment,1288.99251,572,630,1301,561,561,1122,2012,336
260,658,MN,8,Treatment,50.37966,16,33,54,25,30,67,68,5
261,53,FL,6,Treatment,2313.30927,1092,1640,2865,1094,1340,2481,4033,842
262,856,OH,12,Control,582.96906,234,348,621,210,285,501,964,201
263,1104,VA,5,Treatment,986.57136,485,596,1103,420,502,922,1602,409
264,1320,WA,5,Treatment,104.95053,32,72,111,30,66,96,147,42
265,1229,WA,3,Treatment,866.53815,529,354,964,575,355,930,1431,670
266,1207,WA,3,Treatment,491.82927,216,244,499,238,267,505,736,603
267,527,IL,14,Treatment,603.80514,281,316,642,261,241,502,1031,470
268,376,IL,13,Treatment,766.39287,461,260,784,438,276,714,1132,0
269,656,MN,1,Treatment,94.34157,39,77,123,39,64,103,124,80
270,1240,WA,3,Treatment,445.31703,108,300,442,120,313,433,638,324
271,920,PA,11,Treatment,1111.0125,418,627,1085,455,614,1069,1411,16
272,533,MN,2,Treatment,1039.6239,826,507,1510,817,453,1273,1672,684
273,515,IL,14,Treatment,563.00244,337,260,661,291,253,544,911,160
274,678,NV,4,Control,429.42681,652,31,702,534,22,565,1243,777
275,998,PA,7,Treatment,351.04641,165,279,478,177,154,337,766,3
276,373,IL,6,Treatment,424.04751,305,288,641,167,174,341,630,191
277,649,MN,1,Treatment,369.69078,648,394,1172,586,201,787,856,680
278,1241,WA,5,Treatment,162.74769,48,107,160,52,101,153,194,80
279,714,NV,3,Treatment,684.75651,530,482,1091,474,350,876,1565,1257
280,388,IL,14,Treatment,989.85441,457,472,962,443,448,891,1290,956
281,847,OH,1,Treatment,611.07558,171,457,659,158,398,561,807,443
282,820,OH,12,Treatment,362.82411,220,175,434,179,118,310,913,158
283,445,IL,12,Treatment,465.49005,102,342,473,105,315,428,656,529
284,380,IL,13,Treatment,238.27332,177,184,377,130,112,242,575,0
285,1135,VA,1,Treatment,1770.18702,542,1271,1908,531,1133,1664,2461,278
286,557,MN,3,Treatment,898.95456,591,398,1092,604,406,1010,1148,521
287,1214,WA,5,Treatment,128.65557,32,79,120,47,83,130,177,60
288,1085,PA,7,Treatment,707.42568,423,436,914,391,291,708,1297,2
289,212,FL,6,Treatment,2725.6926,1118,1987,3274,1089,1628,2765,4291,942
290,458,IL,14,Treatment,660.79218,245,397,687,224,350,574,987,476
291,392,IL,12,Treatment,447.64161,188,291,492,165,200,387,733,624
292,654,MN,8,Treatment,1603.71123,638,1418,2260,683,971,1711,2571,1313
293,1324,WA,3,Control,403.41267,147,262,453,164,273,437,775,644
294,541,MN,2,Treatment,1413.08148,784,1167,2228,916,955,1874,2568,1670
295,689,NV,4,Control,730.10517,145,731,945,134,645,806,1259,687
296,1143,VA,1,Treatment,1249.62687,476,721,1306,470,696,1166,1721,197
297,830,OH,12,Treatment,959.16273,245,612,899,230,583,823,1217,467
298,849,OH,1,Treatment,526.25034,185,416,630,177,305,496,832,600
299,164,FL,18,Treatment,1216.87248,962,617,1627,899,520,1440,2363,739
300,1109,VA,5,Treatment,1114.38069,285,852,1189,271,766,1037,1678,777
301,1216,WA,5,Treatment,989.67123,533,402,999,550,439,989,1320,108
302,1310,WA,5,Treatment,611.80185,222,357,638,263,378,641,922,298
303,388,IL,13,Treatment,875.88291,408,444,893,385,397,782,1145,0
304,358,IL,12,Treatment,291.95667,66,226,306,75,196,277,430,376
305,478,IL,12,Treatment,329.42343,119,250,389,115,208,336,769,641
306,478,IL,12,Treatment,375.51126,134,254,419,126,188,328,814,685
307,1200,WA,5,Treatment,258.92493,110,131,271,105,120,225,637,38
308,348,IL,12,Treatment,848.12082,202,660,894,225,499,748,1377,1259
309,475,IL,12,Treatment,556.77045,244,298,593,236,251,501,851,699
310,362,IL,12,Treatment,503.18127,118,359,504,195,251,453,687,651
311,477,IL,6,Treatment,534.72048,281,225,562,236,238,475,742,54
312,840,OH,12,Treatment,661.90803,348,316,705,351,267,627,945,389
313,958,PA,16,Treatment,1174.58628,693,606,1363,778,366,1153,1861,353
314,696,NV,4,Treatment,540.16041,826,53,903,626,30,681,2286,1308
315,1187,VA,10,Treatment,2371.54761,2135,1355,3703,1023,693,1716,4531,276
316,1206,WA,5,Treatment,462.26118,223,233,511,274,226,500,844,59
317,213,FL,15,Treatment,1578.13053,645,1338,2057,519,1156,1709,3244,1015
318,139,FL,6,Treatment,436.18125,241,216,475,203,138,347,1117,355
319,1159,VA,2,Treatment,1321.90299,1040,557,1678,924,479,1403,2913,1213
320,1339,WA,5,Treatment,386.34597,80,247,370,89,315,404,564,205
321,1057,PA,16,Treatment,257.41821,66,232,305,65,172,241,373,61
322,1140,VA,5,Treatment,1009.67784,602,448,1082,544,368,912,1710,294
323,1168,VA,2,Treatment,1676.54721,1088,787,2005,1050,656,1706,3495,1366
324,1115,VA,10,Control,354.25722,144,231,406,152,212,364,565,80
325,512,IL,12,Treatment,289.97652,127,197,349,109,157,274,507,465
326,1061,PA,16,Treatment,412.82838,376,129,528,329,76,408,996,164
327,1344,WA,5,Treatment,413.20119,151,215,412,191,203,394,777,83
328,1282,WA,5,Treatment,53.28474,4,43,50,6,38,44,67,27
329,937,PA,7,Treatment,527.45133,368,310,694,307,193,521,916,5
330,429,IL,13,Treatment,138.59631,62,92,162,69,52,121,238,0
331,410,IL,14,Treatment,316.8885,187,121,337,204,120,324,500,165
332,469,IL,12,Treatment,412.06599,160,294,497,170,229,404,772,427
333,432,IL,13,Treatment,208.70265,65,153,223,59,101,160,403,56
334,1173,VA,5,Treatment,2244.25944,1161,901,2248,1314,910,2224,3565,1217
335,1179,VA,5,Treatment,1009.59012,484,444,979,493,423,916,1409,580
336,483,IL,14,Treatment,454.83336,189,268,498,199,187,386,774,384
337,1278,WA,5,Treatment,90.98886,24,57,91,32,61,93,184,50
338,516,IL,12,Treatment,362.10945,126,226,371,145,196,346,512,436
339,399,IL,12,Treatment,660.83088,185,504,731,216,354,584,981,781
340,382,IL,12,Treatment,376.28655,227,152,412,252,99,364,675,554
341,588,MN,8,Control,526.25421,184,429,649,210,316,547,712,172
342,436,IL,12,Treatment,656.62161,236,400,675,215,380,615,1019,876
343,377,IL,6,Treatment,1136.20362,730,580,1390,688,488,1176,2259,958
344,466,IL,14,Treatment,582.83361,246,353,636,232,270,502,993,754
345,124,FL,15,Treatment,819.53313,208,715,948,219,628,874,1272,347
346,1351,WA,5,Treatment,275.46273,56,210,289,62,208,270,397,138
347,466,IL,14,Treatment,664.77054,249,421,711,254,303,557,1032,561
348,578,MN,1,Treatment,370.37448,117,360,505,172,267,439,576,395
349,1229,WA,3,Treatment,739.17516,401,387,864,425,381,806,1366,1040
350,449,IL,14,Treatment,741.97704,379,346,793,387,295,682,1179,369
351,468,IL,14,Treatment,690.17193,259,468,770,304,360,664,1054,435
352,443,IL,12,Treatment,504.51771,358,202,609,332,157,507,1007,717
353,1324,WA,5,Treatment,419.39835,116,317,474,155,277,432,769,249
354,1172,VA,10,Treatment,1068.03228,722,446,1262,710,415,1125,2073,124
355,891,OH,1,Treatment,561.39897,133,431,585,121,414,541,781,681
356,560,MN,1,Control,2055.94395,1190,1375,2813,1229,1025,2258,3086,2129
357,950,PA,7,Treatment,631.7775,344,415,781,355,298,674,987,0
358,453,IL,6,Treatment,787.20702,391,378,831,381,331,712,1219,166
359,729,NV,3,Control,461.22402,421,297,762,357,202,594,1156,1110
360,1076,PA,11,Treatment,564.762,120,501,656,156,406,562,857,543
361,1204,WA,5,Treatment,458.07513,259,214,526,325,215,540,925,78
362,518,IL,12,Treatment,465.66807,99,370,487,125,291,423,663,624
363,562,MN,3,Treatment,1647.71958,1025,968,2184,996,990,1987,2371,1413
364,1083,PA,16,Treatment,450.13518,244,284,552,243,190,437,767,186
365,604,MN,3,Treatment,1337.8461,923,535,1608,925,569,1500,1722,806
366,1174,VA,1,Control,954.22977,261,598,910,238,524,762,1261,277
367,1071,PA,16,Treatment,978.32568,486,514,1056,559,338,901,1702,340
368,959,PA,10,Treatment,240.79785,51,230,289,61,184,245,363,0
369,1268,WA,5,Treatment,672.40089,344,629,1057,276,428,704,1010,326
370,1100,VA,5,Treatment,762.29067,181,640,835,161,526,687,1190,276
371,1007,PA,10,Treatment,1306.73259,658,764,1488,696,722,1420,2132,44
372,1312,WA,5,Treatment,536.89284,119,383,536,136,367,503,726,276
373,925,PA,16,Treatment,612.91383,221,490,726,241,327,575,864,161
374,522,IL,6,Treatment,819.0468,425,408,880,416,350,766,1303,401
375,324,IL,13,Treatment,958.20168,273,503,841,286,475,765,1180,128
376,540,MN,8,Treatment,450.32094,189,329,543,182,257,455,587,89
